Reference,Description,Manufacturer ,Manufacturer Part #,Quantity, Unit Price , Ext ,,,,
J2,CONN HEADER R/A 3POS 2.54MM,Molex,22053031,1, $0.22 , $0.22 ,,,,
,CONN RCPT HSG 3POS 2.54MM,Molex,22012037,1, $0.13 , $0.13 ,,,,
J1,CONN HEADER R/A 2POS 2.54MM,Molex,22053021,1, $0.16 , $0.16 ,,,,
,CONN RCPT HSG 2POS 2.54MM,Molex,22012027,1, $0.10 , $0.10 ,,,,
,CONN 22-30AWG CRIMP TIN,Molex,8500032,5, $0.11 , $0.54 ,,,,
U2,IC MCU 8BIT 8KB FLASH 8DIP,Microchip Tech,ATTINY85-20PU,1, $1.66 , $1.66 ,,,,
,"MACHINE PIN SOCKET, IC, DIP, 8P",Adam Tech,ICM-308-1-GT-HT,1, $0.46 , $0.46 ,,,,
SW1,SWITCH SLIDE DIP SPST 0.05A 24V,CTS Electrocomp,208-3,1, $0.69 , $0.69 ,,,,
D2,DIODE SCHOTTKY 20V 1A DO41,STMicroelectronics,1N5817-T,1, $0.13 , $0.13 ,,,,
D1,"LED, RED",,,1, $0.10 , $0.10 ,,,,
U1,IC REG LINEAR 3.3V 100MA TO92-3,STMicroelectronics,L78L33ACZ,1, $0.27 , $0.27 ,,,,
C1,CAP CER 0.1uF 50V X7R RADIAL,KEMET,C320C104K5R5TA,1, $0.17 , $0.17 ,,,,
C2,CAP CER 0.33uF 50V X7R RADIAL,KEMET,C320C334M5U5TA,1, $0.17 , $0.17 ,,,,
"R1, R2",RES 100 OHM 1% 1/4W AXIAL,YAGEO,MFR-25FRF52-100R,2, $0.10 , $0.20 ,,,,
R3,RES 10K OHM 1% 1/4W AXIAL,YAGEO,MFR-25FRF52-10KR,1, $0.10 , $0.10 ,,,,
,"SL ENCLOSURE W/O FEET, W/MB'S, /REC. BASE, TEXT COVER",Polycase,SL-30PRMBT,1, $4.26 , $4.26 
,"#4-24 X 1/4"" PAN HEAD PHILIPS / HI LO SCREW, 100 PAC",Polycase,SCREWS-MBR-100,4, $0.04 , $0.17 
,TEST LEAD BANANA ,Pomona Electronics,B-24-02,2, $4.00 , $8.00 
,DC POWER ADAPTER DELL 7.4MM X 5.0MM PLUG PIGTAIL CABLE,Amazon,B09N91ZSQW,1, $3.75 , $3.75 
